tick,temperature,pH,glucose_feed
0,37.0,5.0,35.0
1,37.0,5.056948691916905,1.67
2,37.0,5.112737140848884,1.67
3,37.0,5.166228741997221,1.67
4,26.5,5.216333685343533,1.67
5,26.5,5.262031158871407,1.67
6,26.5,5.302390146058693,1.67
7,26.5,5.336588393923159,1.67
8,26.5,5.363929165176449,1.67
9,26.5,5.383855433186674,1.67
10,26.5,5.395961230548849,35.0
11,26.5,5.3999999200533475,1.67
12,37.0,5.395889219543928,1.67
13,37.0,5.383712878291536,1.67
14,37.0,5.363718970730273,1.67
15,37.0,5.3363148423181,1.67
16,26.5,5.302058810492663,1.67
17,26.5,5.2616487898026385,1.67
18,26.5,5.215908072960257,1.67
19,26.5,5.165768557504438,1.67
20,26.5,5.112251759805742,35.0
21,26.5,5.056448003223947,1.67
22,26.5,4.999494204427849,1.67
23,26.5,4.942550710447273,1.67
24,37.0,4.886777658367098,1.67
25,37.0,4.8333113392986,1.67
26,37.0,4.7832410481762375,1.67
27,37.0,4.7375868910300625,1.67
28,26.5,4.6972790018768285,1.67
29,26.5,4.663138592654038,1.67
30,26.5,4.635861222275687,35.0
31,26.5,4.616002625677267,1.67
32,26.5,4.603967391561666,1.67
33,26.5,4.600000719519683,1.67
34,26.5,4.604183424461288,1.67
35,26.5,4.616430290134745,1.67
36,37.0,4.636491805278131,1.67
37,37.0,4.663959247031823,1.67
38,37.0,4.698273008045135,1.67
39,37.0,4.738733997624988,1.67
40,26.5,4.784517884645537,35.0
41,26.5,4.8346918920411435,1.67
42,26.5,4.88823380072043,1.67
43,26.5,4.944052775725581,1.67
44,26.5,5.001011590335569,1.67
45,26.5,5.05794979533099,1.67
46,26.5,5.113707361381994,1.67
47,26.5,5.167148312881596,1.67
48,37.0,5.217183871720973,1.67
49,37.0,5.262794639487516,1.67
50,37.0,5.303051366157088,35.0
51,37.0,5.337133882149981,1.67
52,26.5,5.364347808038707,1.67
53,26.5,5.384138701472759,1.67
54,26.5,5.396103353098254,1.67
55,26.5,5.39999800133528,1.67
56,26.5,5.395743298649353,1.67
57,26.5,5.383425928136749,1.67
58,26.5,5.363296837488256,1.67
59,26.5,5.335766126311641,1.67
60,37.0,5.301394690975855,35.0
61,37.0,5.260882797200582,1.67
62,37.0,5.215055813207225,1.67
63,37.0,5.164847394096703,1.67
64,26.5,5.111280460046745,1.67
65,26.5,5.055446355869034,1.67
66,26.5,4.998482616518478,1.67
67,26.5,4.941549791548581,1.67
68,26.5,4.885807800679355,1.67
69,26.5,4.832392302197142,1.67
70,26.5,4.782391555644252,35.0
71,26.5,4.7368242501859,1.67
72,37.0,4.696618750367793,1.67
73,37.0,4.662594182100454,1.67
74,37.0,4.635443744214594,1.67
75,37.0,4.615720585589221,1.67
76,26.5,4.603826535584507,1.67
77,26.5,4.600003917379719,1.67
78,26.5,4.604330611006985,1.67
79,26.5,4.6167184666640875,1.67
80,26.5,4.6369151006326215,35.0
81,26.5,4.664509037212399,1.67
82,26.5,4.698938091913041,1.67
83,26.5,4.739500825107936,1.67
84,37.0,4.785370832799826,1.67
85,37.0,4.8356135833453715,1.67
86,37.0,4.889205457116068,1.67
87,37.0,4.945054601191353,1.67
88,26.5,5.0020231742012795,1.67
89,26.5,5.058950528113887,1.67
90,26.5,5.114676854673633,35.0
91,26.5,5.168066814730657,1.67
92,26.5,5.218032669049222,1.67
93,26.5,5.263556439340322,1.67
94,26.5,5.303710648021066,1.67
95,26.5,5.337677214159849,1.67
96,37.0,5.364764120631115,1.67
97,37.0,5.384419512911803,1.67
98,37.0,5.396242942277948,1.67
99,37.0,5.399993524338388,1.67
100,26.5,5.395594846687877,35.0
101,26.5,5.383136525693625,1.67
102,26.5,5.3628723806981125,1.67
103,26.5,5.335215262836024,1.67
104,26.5,5.300728643820275,1.67
105,26.5,5.260115136062847,1.67
106,26.5,5.214202178015487,1.67
107,26.5,5.1639251763697045,1.67
108,37.0,5.11030844856808,1.67
109,37.0,5.0544443538942545,1.67
110,37.0,4.997471038313882,35.0
111,37.0,4.940549246481583,1.67
112,26.5,4.884838673333974,1.67
113,26.5,4.831474337069103,1.67
114,26.5,4.781543454876909,1.67
115,26.5,4.736063292542518,1.67
116,26.5,4.69596043920302,1.67
117,26.5,4.662051929503052,1.67
118,26.5,4.635028597756527,1.67
119,26.5,4.615441003248177,1.67
120,37.0,4.603688213425471,35.0
121,37.0,4.6000096735063085,1.67
122,37.0,4.604480328146875,1.67
123,37.0,4.617009094558257,1.67
124,26.5,4.63734071817974,1.67
125,26.5,4.665060973102263,1.67
126,26.5,4.699605101291329,1.67
127,26.5,4.740269318673017,1.67
128,26.5,4.786225153664107,1.67
129,26.5,4.836536326020575,1.67
130,26.5,4.890177822123579,35.0
131,26.5,4.946056778073007,1.67
132,37.0,5.003034745127317,1.67
133,37.0,5.059950883865181,1.67
134,37.0,5.115645614523185,1.67
135,37.0,5.168984241669912,1.67
136,26.5,5.218880071899603,1.67
137,26.5,5.264316553557561,1.67
138,26.5,5.304367987434039,1.67
139,26.5,5.3382183864777595,1.67
140,26.5,5.365178100291051,35.0
141,26.5,5.384697865707812,1.67
142,26.5,5.396379997195157,1.67
143,26.5,5.3999864890913045,1.67
144,37.0,5.395443864608961,1.67
145,37.0,5.382844672813105,1.67
146,37.0,5.362445603074554,1.67
147,37.0,5.334662255414423,1.67
148,26.5,5.300060673285781,1.67
149,26.5,5.259345811299188,1.67
